"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HUN","Hungary","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,3.67222,,
"HUN","Hungary","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","HUF","Forint","6","Millions",,,32179666,,
"ISL","Iceland","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.82666,,
"ISL","Iceland","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","ISK","Iceland Krona","6","Millions",,,1989260,,
"ZAF","South Africa","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.524842,,
"NLD","Netherlands","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,663008,,
"NLD","Netherlands","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.41969,,
"USA","United States","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,2.427798,,
"EST","Estonia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,2.906537,,
"TUR","Turkey","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,2.914143,,
"IDN","Indonesia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","IDR","Rupiah","6","Millions",,,10542693500,,
"NOR","Norway","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,2.214763,,
"JPN","Japan","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,-0.031429,,
"JPN","Japan","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","JPY","Yen","6","Millions",,,486938800,,
"LUX","Luxembourg","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,48897.5,,
"LUX","Luxembourg","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,4.069293,,
"ISR","Israel","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,2.55437,,
"SVK","Slovak Republic","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,75560.457,,
"SVK","Slovak Republic","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,2.521934,,
"CHL","Chile","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","CLP","Chilean Peso","6","Millions",,,147568108.3,,
"ZAF","South Africa","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","ZAR","Rand","6","Millions",,,3796460,,
"CHL","Chile","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.876395,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","CNY","Yuan Renminbi","6","Millions",,,63591020.17,,
"MEX","Mexico","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,2.230792,,
"SVN","Slovenia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,37303.2159,,
"NZL","New Zealand","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","NZD","New Zealand Dollar","6","Millions",,,241260,,
"NZL","New Zealand","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,3.172836,,
"ISR","Israel","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","ILS","New Israeli Sheqel","6","Millions",,,1093674.386,,
"OECDE","OECD - Europe","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.689916,"E","Estimated value"
"ITA","Italy","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,1611884.015,,
"ITA","Italy","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,-0.343161,,
